"Count","Series","Title","Episode","Year","PlexId","imdb","tmdb","tvdb"
378,"TNG","Redemption (2)","5x01","1991","NULL","NULL","NULL","NULL"
379,"TNG","Redemption, Part 1","4x26","1991","NULL","NULL","NULL","NULL"
380,"TNG","Redemption, Part 2","5x01","1991","NULL","NULL","NULL","NULL"
381,"TNG","Star Trek Darmok","5x02","1991","NULL","NULL","NULL","NULL"
382,"TNG","Star Trek Ensign Ro","5x03","1991","NULL","NULL","NULL","NULL"
383,"TNG","Star Trek Silicon Avatar","5x04","1991","NULL","NULL","NULL","NULL"
384,"TNG","Star Trek Disaster","5x05","1991","NULL","NULL","NULL","NULL"
385,"TNG","Star Trek The Game","5x06","1991","NULL","NULL","NULL","NULL"
386,"TNG","Unification","5x07","1991","NULL","NULL","NULL","NULL"
387,"TNG","Unification (1)","5x07","1991","NULL","NULL","NULL","NULL"
388,"TNG","Unification (2)","5x08","1991","NULL","NULL","NULL","NULL"
389,"TNG","Unification, Part 1","5x07","1991","NULL","NULL","NULL","NULL"
390,"TNG","Unification, Part 2","5x08","1991","NULL","NULL","NULL","NULL"
391,"TNG","Star Trek A Matter of Time","5x09","1991","NULL","NULL","NULL","NULL"
392,"TNG","Star Trek New Ground","5x10","1992","NULL","NULL","NULL","NULL"
393,"TNG","Star Trek Hero Worship","5x11","1992","NULL","NULL","NULL","NULL"
394,"TNG","Star Trek Violations","5x12","1992","NULL","NULL","NULL","NULL"
395,"TNG","Star Trek The Masterpiece Society","5x13","1992","NULL","NULL","NULL","NULL"
396,"TNG","Star Trek Conundrum","5x14","1992","NULL","NULL","NULL","NULL"
397,"TNG","Star Trek Power Play","5x15","1992","NULL","NULL","NULL","NULL"
398,"TNG","Star Trek Ethics","5x16","1992","NULL","NULL","NULL","NULL"
399,"TNG","Star Trek The Outcast","5x17","1992","NULL","NULL","NULL","NULL"
400,"TNG","Star Trek Cause and Effect","5x18","1992","NULL","NULL","NULL","NULL"
401,"TNG","Star Trek The First Duty","5x19","1992","NULL","NULL","NULL","NULL"
402,"TNG","Star Trek Cost of Living","5x20","1992","NULL","NULL","NULL","NULL"
403,"TNG","Star Trek The Perfect Mate","5x21","1992","NULL","NULL","NULL","NULL"
404,"TNG","Star Trek Imaginary Friend","5x22","1992","NULL","NULL","NULL","NULL"
405,"TNG","Star Trek I, Borg","5x23","1992","NULL","NULL","NULL","NULL"
406,"TNG","Star Trek The Next Phase","5x24","1992","NULL","NULL","NULL","NULL"
407,"TNG","Star Trek The Inner Light","5x25","1992","NULL","NULL","NULL","NULL"
408,"TNG","Time's Arrow","5x26","1992","NULL","NULL","NULL","NULL"
409,"TNG","Time's Arrow (1)","5x26","1992","NULL","NULL","NULL","NULL"
410,"TNG","Time's Arrow (2)","6x01","1992","NULL","NULL","NULL","NULL"
411,"TNG","Time's Arrow, Part 1","5x26","1992","NULL","NULL","NULL","NULL"
412,"TNG","Time's Arrow, Part 2","6x01","1992","NULL","NULL","NULL","NULL"
413,"TNG","Star Trek Realm of Fear","6x02","1992","NULL","NULL","NULL","NULL"
414,"TNG","Star Trek Man of the People","6x03","1992","NULL","NULL","NULL","NULL"
415,"TNG","Star Trek Relics","6x04","1992","NULL","NULL","NULL","NULL"
416,"TNG","Star Trek Schisms","6x05","1992","NULL","NULL","NULL","NULL"
417,"TNG","Star Trek True Q","6x06","1992","NULL","NULL","NULL","NULL"
418,"TNG","Star Trek Rascals","6x07","1992","NULL","NULL","NULL","NULL"
419,"TNG","Star Trek A Fistful of Datas","6x08","1992","NULL","NULL","NULL","NULL"
420,"TNG","Star Trek The Quality of Life","6x09","1992","NULL","NULL","NULL","NULL"
421,"TNG","Chain of Command","6x10","1992","NULL","NULL","NULL","NULL"
422,"TNG","Chain of Command (1)","6x10","1992","NULL","NULL","NULL","NULL"
423,"TNG","Chain of Command (2)","6x11","1992","NULL","NULL","NULL","NULL"
424,"TNG","Chain of Command, Part 1","6x10","1992","NULL","NULL","NULL","NULL"
425,"TNG","Chain of Command, Part 2","6x11","1992","NULL","NULL","NULL","NULL"
426,"DS9","Emissary","1x01","1993","NULL","NULL","NULL","NULL"
427,"DS9","Emissary (1)","1x01","1993","NULL","NULL","NULL","NULL"
428,"DS9","Emissary (2)","1x02","1993","NULL","NULL","NULL","NULL"
429,"DS9","Emissary, Part 1","1x01","1993","NULL","NULL","NULL","NULL"
430,"DS9","Emissary, Part 2","1x02","1993","NULL","NULL","NULL","NULL"
431,"DS9","Star Trek Past Prologue","1x03","1993","NULL","NULL","NULL","NULL"
432,"DS9","Star Trek A Man Alone","1x04","1993","NULL","NULL","NULL","NULL"
433,"DS9","Star Trek Babel","1x05","1993","NULL","NULL","NULL","NULL"
434,"TNG","Star Trek Ship in a Bottle","6x12","1993","NULL","NULL","NULL","NULL"
435,"DS9","Star Trek Captive Pursuit","1x06","1993","NULL","NULL","NULL","NULL"
436,"TNG","Star Trek Aquiel","6x13","1993","NULL","NULL","NULL","NULL"
437,"DS9","Star Trek Q-Less","1x07","1993","NULL","NULL","NULL","NULL"
438,"TNG","Star Trek Face of the Enemy","6x14","1993","NULL","NULL","NULL","NULL"
439,"DS9","Star Trek Dax","1x08","1993","NULL","NULL","NULL","NULL"
440,"TNG","Star Trek Tapestry","6x15","1993","NULL","NULL","NULL","NULL"
441,"DS9","Star Trek The Passenger","1x09","1993","NULL","NULL","NULL","NULL"
442,"TNG","Birthright","6x16","1993","NULL","NULL","NULL","NULL"
443,"TNG","Birthright (1)","6x16","1993","NULL","NULL","NULL","NULL"
444,"TNG","Birthright (2)","6x17","1993","NULL","NULL","NULL","NULL"
445,"TNG","Birthright, Part 1","6x16","1993","NULL","NULL","NULL","NULL"
446,"TNG","Birthright, Part 2","6x17","1993","NULL","NULL","NULL","NULL"
447,"DS9","Star Trek Move Along Home","1x10","1993","NULL","NULL","NULL","NULL"
448,"DS9","Star Trek The Nagus","1x11","1993","NULL","NULL","NULL","NULL"
449,"TNG","Star Trek Starship Mine","6x18","1993","NULL","NULL","NULL","NULL"
450,"TNG","Star Trek Lessons","6x19","1993","NULL","NULL","NULL","NULL"
451,"DS9","Star Trek Vortex","1x12","1993","NULL","NULL","NULL","NULL"
452,"DS9","Star Trek Battle Lines","1x13","1993","NULL","NULL","NULL","NULL"
453,"DS9","Star Trek The Storyteller","1x14","1993","NULL","NULL","NULL","NULL"
454,"TNG","Star Trek The Chase","6x20","1993","NULL","NULL","NULL","NULL"
455,"TNG","Star Trek Frame of Mind","6x21","1993","NULL","NULL","NULL","NULL"
456,"TNG","Star Trek Suspicions","6x22","1993","NULL","NULL","NULL","NULL"
457,"DS9","Star Trek Progress","1x15","1993","NULL","NULL","NULL","NULL"
458,"TNG","Star Trek Rightful Heir","6x23","1993","NULL","NULL","NULL","NULL"
459,"DS9","Star Trek If Wishes Were Horses","1x16","1993","NULL","NULL","NULL","NULL"
460,"TNG","Star Trek Second Chances","6x24","1993","NULL","NULL","NULL","NULL"
461,"DS9","Star Trek The Forsaken","1x18","1993","NULL","NULL","NULL","NULL"
462,"DS9","Star Trek Dramatis Personae","1x17","1993","NULL","NULL","NULL","NULL"
463,"DS9","Star Trek Duet","1x19","1993","NULL","NULL","NULL","NULL"
464,"TNG","Star Trek Timescape","6x25","1993","NULL","NULL","NULL","NULL"
465,"DS9","Star Trek In the Hands of the Prophets","1x20","1993","NULL","NULL","NULL","NULL"
466,"TNG","Descent","6x26","1993","NULL","NULL","NULL","NULL"
467,"TNG","Descent (1)","6x26","1993","NULL","NULL","NULL","NULL"
468,"TNG","Descent (2)","7x01","1993","NULL","NULL","NULL","NULL"
469,"TNG","Descent, Part 1","6x26","1993","NULL","NULL","NULL","NULL"
470,"TNG","Descent, Part 2","7x01","1993","NULL","NULL","NULL","NULL"
471,"DS9","Star Trek The Homecoming","2x01","1993","NULL","NULL","NULL","NULL"
472,"DS9","Star Trek The Circle","2x02","1993","NULL","NULL","NULL","NULL"
473,"DS9","Star Trek The Siege","2x03","1993","NULL","NULL","NULL","NULL"
474,"TNG","Star Trek Liaisons","7x02","1993","NULL","NULL","NULL","NULL"
475,"TNG","Gambit","7x04","1993","NULL","NULL","NULL","NULL"
476,"TNG","Gambit (1)","7x04","1993","NULL","NULL","NULL","NULL"
477,"TNG","Gambit (2)","7x05","1993","NULL","NULL","NULL","NULL"
478,"TNG","Gambit, Part 1","7x04","1993","NULL","NULL","NULL","NULL"
